current_x, current_y, calc_x, calc_y, distance
1.19, 1.11, 1.25, 1.16, 0.08
1.19, 1.11, 1.25, 1.16, 0.08
1.19, 1.12, 1.25, 1.17, 0.08
1.18, 1.12, 1.24, 1.17, 0.08
1.18, 1.12, 1.24, 1.17, 0.08
1.15, 1.16, 1.21, 1.21, 0.08
1.05, 1.31, 1.12, 1.35, 0.08
1.01, 1.38, 1.08, 1.42, 0.08
1.01, 1.39, 1.08, 1.42, 0.07
1.00, 1.41, 1.07, 1.44, 0.07
0.99, 1.43, 1.06, 1.46, 0.08
0.99, 1.44, 1.05, 1.47, 0.07
0.98, 1.47, 1.04, 1.50, 0.07
0.97, 1.49, 1.04, 1.52, 0.07
0.97, 1.50, 1.03, 1.52, 0.07
0.96, 1.51, 1.03, 1.54, 0.07
0.96, 1.52, 1.02, 1.54, 0.07
0.96, 1.53, 1.02, 1.55, 0.07
0.95, 1.53, 1.02, 1.56, 0.07
0.95, 1.55, 1.01, 1.57, 0.07
0.95, 1.56, 1.01, 1.58, 0.06
0.95, 1.57, 1.01, 1.59, 0.06
0.94, 1.58, 1.01, 1.60, 0.07
0.94, 1.59, 1.00, 1.61, 0.07
0.94, 1.60, 1.00, 1.62, 0.06
0.93, 1.61, 1.00, 1.63, 0.07
0.93, 1.62, 0.99, 1.64, 0.07
0.93, 1.63, 0.99, 1.65, 0.06
0.92, 1.64, 0.99, 1.66, 0.07
0.92, 1.65, 0.99, 1.67, 0.07
0.92, 1.66, 0.98, 1.68, 0.07
0.91, 1.67, 0.98, 1.69, 0.07
0.91, 1.68, 0.98, 1.70, 0.07
0.91, 1.69, 0.98, 1.70, 0.07
0.91, 1.69, 0.98, 1.70, 0.07
0.90, 1.70, 0.98, 1.72, 0.08
0.90, 1.71, 0.97, 1.72, 0.07
0.90, 1.72, 0.97, 1.73, 0.07
0.90, 1.73, 0.97, 1.74, 0.07
0.90, 1.73, 0.97, 1.74, 0.07
0.90, 1.74, 0.97, 1.75, 0.07
0.90, 1.74, 0.97, 1.75, 0.07
0.89, 1.75, 0.97, 1.76, 0.08
0.89, 1.76, 0.96, 1.77, 0.08
0.89, 1.77, 0.96, 1.78, 0.07
0.89, 1.77, 0.96, 1.78, 0.07
0.89, 1.78, 0.96, 1.79, 0.07
0.88, 1.79, 0.96, 1.80, 0.08
0.88, 1.79, 0.96, 1.80, 0.08
0.88, 1.80, 0.96, 1.81, 0.08
0.88, 1.81, 0.96, 1.82, 0.08
0.88, 1.82, 0.96, 1.83, 0.08
0.87, 1.82, 0.96, 1.83, 0.09
0.87, 1.83, 0.96, 1.84, 0.09
0.87, 1.84, 0.96, 1.85, 0.09
0.87, 1.84, 0.96, 1.85, 0.09
0.87, 1.86, 0.95, 1.87, 0.08
0.87, 1.86, 0.95, 1.87, 0.08
0.87, 1.88, 0.95, 1.89, 0.08
0.86, 1.88, 0.95, 1.89, 0.09
0.86, 1.89, 0.95, 1.89, 0.09
0.86, 1.90, 0.95, 1.90, 0.09
0.86, 1.91, 0.95, 1.91, 0.09
0.86, 1.91, 0.95, 1.91, 0.09
0.86, 1.93, 0.95, 1.93, 0.09
0.86, 1.93, 0.95, 1.93, 0.09
0.86, 1.95, 0.95, 1.95, 0.09
0.86, 1.95, 0.95, 1.95, 0.09
0.85, 1.96, 0.95, 1.96, 0.10
0.86, 1.96, 0.95, 1.96, 0.09
0.86, 1.97, 0.95, 1.97, 0.09
0.86, 1.98, 0.95, 1.98, 0.09
0.86, 1.98, 0.95, 1.98, 0.09
0.86, 2.00, 0.95, 2.00, 0.09
0.86, 2.00, 0.95, 2.00, 0.09
0.86, 2.01, 0.95, 2.01, 0.09
0.86, 2.02, 0.95, 2.02, 0.09
0.86, 2.03, 0.95, 2.03, 0.09
0.86, 2.04, 0.95, 2.04, 0.09
0.85, 2.05, 0.95, 2.05, 0.10
0.86, 2.05, 0.95, 2.05, 0.09
0.85, 2.06, 0.95, 2.06, 0.10
0.85, 2.06, 0.95, 2.06, 0.10
0.85, 2.07, 0.95, 2.07, 0.10
0.85, 2.07, 0.95, 2.07, 0.10
0.85, 2.07, 0.95, 2.07, 0.10
0.85, 2.08, 0.95, 2.08, 0.10
0.86, 2.08, 0.95, 2.08, 0.09
0.85, 2.09, 0.95, 2.09, 0.10
0.85, 2.10, 0.95, 2.10, 0.10
0.85, 2.10, 0.95, 2.10, 0.10
0.85, 2.11, 0.95, 2.11, 0.10
0.86, 2.12, 0.95, 2.12, 0.09
0.86, 2.12, 0.95, 2.12, 0.09
0.86, 2.14, 0.95, 2.14, 0.09
0.86, 2.14, 0.95, 2.14, 0.09
0.86, 2.16, 0.95, 2.16, 0.09
0.86, 2.17, 0.95, 2.17, 0.09
0.86, 2.17, 0.95, 2.17, 0.09
0.86, 2.18, 0.95, 2.18, 0.09
0.86, 2.19, 0.95, 2.19, 0.09
0.86, 2.20, 0.95, 2.20, 0.09
0.86, 2.21, 0.95, 2.21, 0.09
0.86, 2.22, 0.95, 2.22, 0.09
0.86, 2.23, 0.95, 2.23, 0.09
0.86, 2.24, 0.95, 2.24, 0.09
0.86, 2.25, 0.95, 2.25, 0.09
0.86, 2.26, 0.95, 2.26, 0.09
0.86, 2.27, 0.95, 2.27, 0.09
0.87, 2.28, 0.95, 2.28, 0.08
0.86, 2.30, 0.95, 2.30, 0.09
0.83, 2.17, 0.95, 2.17, 0.12
0.86, 2.31, 0.95, 2.31, 0.09
0.86, 2.32, 0.95, 2.32, 0.09
0.83, 2.18, 0.95, 2.18, 0.12
0.83, 2.19, 0.95, 2.19, 0.12
0.86, 2.33, 0.95, 2.33, 0.09
0.83, 2.20, 0.95, 2.20, 0.12
0.83, 2.21, 0.95, 2.21, 0.12
0.86, 2.34, 0.95, 2.34, 0.09
0.83, 2.21, 0.95, 2.21, 0.12
0.87, 2.34, 0.95, 2.34, 0.08
0.86, 2.35, 0.95, 2.35, 0.09
0.83, 2.22, 0.95, 2.22, 0.12
0.86, 2.35, 0.95, 2.35, 0.09
0.86, 2.36, 0.95, 2.36, 0.09
0.83, 2.22, 0.95, 2.22, 0.12
0.83, 2.23, 0.95, 2.23, 0.12
0.86, 2.37, 0.95, 2.37, 0.09
0.83, 2.23, 0.95, 2.23, 0.12
0.86, 2.37, 0.95, 2.37, 0.09
0.83, 2.24, 0.95, 2.24, 0.12
0.83, 2.24, 0.95, 2.24, 0.12
0.87, 2.37, 0.95, 2.37, 0.08
0.83, 2.25, 0.95, 2.25, 0.12
0.83, 2.25, 0.95, 2.25, 0.12
0.83, 2.26, 0.95, 2.26, 0.12
0.83, 2.27, 0.95, 2.27, 0.12
0.83, 2.28, 0.95, 2.28, 0.12
0.83, 2.28, 0.95, 2.28, 0.12
0.83, 2.29, 0.95, 2.29, 0.12
0.83, 2.30, 0.95, 2.30, 0.12
0.83, 2.31, 0.95, 2.31, 0.12
0.83, 2.32, 0.95, 2.32, 0.12
0.83, 2.33, 0.95, 2.33, 0.12
0.82, 2.34, 0.95, 2.34, 0.13
0.82, 2.35, 0.95, 2.35, 0.13
0.82, 2.36, 0.95, 2.36, 0.13
0.82, 2.37, 0.95, 2.37, 0.13
0.82, 2.37, 0.95, 2.37, 0.13
0.82, 2.38, 0.95, 2.38, 0.13
0.82, 2.39, 0.95, 2.39, 0.13
0.82, 2.40, 0.95, 2.40, 0.13
0.82, 2.41, 0.95, 2.41, 0.13
0.82, 2.41, 0.95, 2.41, 0.13
0.82, 2.42, 0.95, 2.42, 0.13
0.82, 2.43, 0.95, 2.43, 0.13
0.82, 2.44, 0.95, 2.44, 0.13
0.82, 2.44, 0.95, 2.44, 0.13
0.82, 2.46, 0.95, 2.46, 0.13
0.83, 2.46, 0.95, 2.46, 0.12
0.83, 2.47, 0.95, 2.47, 0.12
0.83, 2.48, 0.95, 2.48, 0.12
0.83, 2.49, 0.95, 2.49, 0.12
0.83, 2.50, 0.95, 2.50, 0.12
0.83, 2.51, 0.95, 2.51, 0.12
0.83, 2.52, 0.95, 2.52, 0.12
0.83, 2.53, 0.95, 2.53, 0.12
0.83, 2.53, 0.95, 2.53, 0.12
0.83, 2.54, 0.95, 2.54, 0.12
0.83, 2.55, 0.95, 2.55, 0.12
0.83, 2.56, 0.95, 2.56, 0.12
0.83, 2.57, 0.95, 2.57, 0.12
0.84, 2.57, 0.95, 2.57, 0.11
0.83, 2.58, 0.95, 2.58, 0.12
0.84, 2.59, 0.95, 2.59, 0.11
0.84, 2.59, 0.95, 2.59, 0.11
0.84, 2.60, 0.95, 2.60, 0.11
0.84, 2.61, 0.95, 2.61, 0.11
0.84, 2.62, 0.95, 2.62, 0.11
0.84, 2.63, 0.95, 2.63, 0.11
0.84, 2.63, 0.95, 2.63, 0.11
0.84, 2.64, 0.95, 2.64, 0.11
0.84, 2.65, 0.95, 2.65, 0.11
0.84, 2.66, 0.95, 2.66, 0.11
0.84, 2.67, 0.95, 2.67, 0.11
0.84, 2.68, 0.95, 2.68, 0.11
0.84, 2.69, 0.95, 2.69, 0.11
0.84, 2.69, 0.95, 2.69, 0.11
0.84, 2.70, 0.95, 2.70, 0.11
0.84, 2.71, 0.95, 2.71, 0.11
0.84, 2.72, 0.95, 2.72, 0.11
0.84, 2.73, 0.95, 2.73, 0.11
0.84, 2.74, 0.95, 2.74, 0.11
0.84, 2.74, 0.95, 2.74, 0.11
0.84, 2.75, 0.95, 2.75, 0.11
0.84, 2.76, 0.95, 2.76, 0.11
0.84, 2.76, 0.95, 2.76, 0.11
0.84, 2.77, 0.95, 2.77, 0.11
0.84, 2.78, 0.95, 2.78, 0.11
0.84, 2.78, 0.95, 2.78, 0.11
0.84, 2.79, 0.95, 2.79, 0.11
0.84, 2.79, 0.95, 2.79, 0.11
0.85, 2.80, 0.95, 2.80, 0.10
0.84, 2.80, 0.95, 2.80, 0.11
0.84, 2.81, 0.95, 2.81, 0.11
0.84, 2.82, 0.95, 2.82, 0.11
0.84, 2.82, 0.95, 2.82, 0.11
0.84, 2.83, 0.95, 2.83, 0.11
0.84, 2.83, 0.95, 2.83, 0.11
0.84, 2.83, 0.95, 2.83, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
0.84, 2.84, 0.95, 2.84, 0.11
