Projected direction: 15.65, error: 15.65, derivative: -0.73, control var: 4.18, steering_command 76
Projected direction: 16.64, error: 16.64, derivative: 0.99, control var: 5.69, steering_command 71
Projected direction: 15.77, error: 15.77, derivative: -0.87, control var: 4.12, steering_command 76
Projected direction: 14.46, error: 14.46, derivative: -1.30, control var: 3.43, steering_command 79
Projected direction: 16.44, error: 16.44, derivative: 1.98, control var: 6.32, steering_command 68
Projected direction: 17.44, error: 17.44, derivative: 1.00, control var: 5.93, steering_command 70
Projected direction: 16.13, error: 16.13, derivative: -1.31, control var: 3.92, steering_command 77
Projected direction: 12.85, error: 12.85, derivative: -3.28, control var: 1.56, steering_command 85
Projected direction: 16.79, error: 16.79, derivative: 3.94, control var: 7.80, steering_command 63
Projected direction: 17.00, error: 17.00, derivative: 0.21, control var: 5.24, steering_command 72
Projected direction: 16.11, error: 16.11, derivative: -0.89, control var: 4.21, steering_command 76
Projected direction: 23.51, error: 23.51, derivative: 7.40, control var: 12.23, steering_command 48
Projected direction: 26.14, error: 26.14, derivative: 2.63, control var: 9.68, steering_command 57
Projected direction: 28.32, error: 28.32, derivative: 2.18, control var: 10.02, steering_command 56
Projected direction: 30.97, error: 30.97, derivative: 2.65, control var: 11.15, steering_command 52
Projected direction: 28.42, error: 28.42, derivative: -2.55, control var: 6.74, steering_command 67
Projected direction: 39.06, error: 39.06, derivative: 10.64, control var: 19.16, steering_command 24
Projected direction: 38.08, error: 38.08, derivative: -0.98, control var: 10.74, steering_command 53
Projected direction: 36.87, error: 36.87, derivative: -1.20, control var: 10.22, steering_command 55
Projected direction: 35.19, error: 35.19, derivative: -1.69, control var: 9.37, steering_command 58
Projected direction: 36.84, error: 36.84, derivative: 1.65, control var: 12.21, steering_command 48
Projected direction: 38.04, error: 38.04, derivative: 1.20, control var: 12.25, steering_command 48
Projected direction: 37.88, error: 37.88, derivative: -0.16, control var: 11.25, steering_command 51
Projected direction: 40.57, error: 40.57, derivative: 2.69, control var: 14.05, steering_command 42
Projected direction: 41.46, error: 41.46, derivative: 0.90, control var: 13.07, steering_command 45
Projected direction: 5.50, error: 5.50, derivative: -35.96, control var: -23.52, steering_command 172
Projected direction: 21.36, error: 21.36, derivative: 15.86, control var: 17.51, steering_command 29
Projected direction: 5.56, error: 5.56, derivative: -15.80, control var: -9.39, steering_command 123
Projected direction: 62.98, error: 62.98, derivative: 57.42, control var: 59.09, steering_command 0
Projected direction: 0.08, error: 0.08, derivative: -62.91, control var: -44.01, steering_command 179
Projected direction: 10.01, error: 10.01, derivative: 9.94, control var: 9.96, steering_command 56
Projected direction: 44.63, error: 44.63, derivative: 34.62, control var: 37.62, steering_command 0
Projected direction: -64.39, error: -64.39, derivative: -109.02, control var: -95.63, steering_command 179
Projected direction: -34.66, error: -34.66, derivative: 29.73, control var: 10.42, steering_command 54
Projected direction: -44.95, error: -44.95, derivative: -10.29, control var: -20.69, steering_command 163
