Projected direction: 4.27, error: 4.27, derivative: -11.84, control var: -9.80, steering_command 125
Projected direction: 4.02, error: 4.02, derivative: -0.25, control var: 0.58, steering_command 88
Projected direction: -6.90, error: -6.90, derivative: -10.91, control var: -11.20, steering_command 130
Projected direction: -6.93, error: -6.93, derivative: -0.03, control var: -1.42, steering_command 95
Projected direction: -6.88, error: -6.88, derivative: 0.05, control var: -1.33, steering_command 95
Projected direction: -6.97, error: -6.97, derivative: -0.09, control var: -1.47, steering_command 96
Projected direction: -6.92, error: -6.92, derivative: 0.05, control var: -1.34, steering_command 95
Projected direction: -6.97, error: -6.97, derivative: -0.05, control var: -1.44, steering_command 96
Projected direction: -7.09, error: -7.09, derivative: -0.11, control var: -1.52, steering_command 96
Projected direction: -7.13, error: -7.13, derivative: -0.05, control var: -1.47, steering_command 96
Projected direction: -7.04, error: -7.04, derivative: 0.10, control var: -1.32, steering_command 95
Projected direction: -6.95, error: -6.95, derivative: 0.09, control var: -1.31, steering_command 95
Projected direction: -8.40, error: -8.40, derivative: -1.45, control var: -2.99, steering_command 101
Projected direction: 40.93, error: 40.93, derivative: 49.34, control var: 52.59, steering_command 0
Projected direction: -35.00, error: -35.00, derivative: -75.93, control var: -75.34, steering_command 179
Projected direction: -55.42, error: -55.42, derivative: -20.42, control var: -29.46, steering_command 179
Projected direction: -29.54, error: -29.54, derivative: 25.88, control var: 17.38, steering_command 30
Projected direction: -24.82, error: -24.82, derivative: 4.72, control var: -0.71, steering_command 93
Projected direction: -27.00, error: -27.00, derivative: -2.19, control var: -7.37, steering_command 116
Projected direction: -26.55, error: -26.55, derivative: 0.45, control var: -4.90, steering_command 108
Projected direction: -26.36, error: -26.36, derivative: 0.19, control var: -5.10, steering_command 108
Projected direction: -26.67, error: -26.67, derivative: -0.31, control var: -5.61, steering_command 110
Projected direction: -26.47, error: -26.47, derivative: 0.20, control var: -5.11, steering_command 108
Projected direction: -26.63, error: -26.63, derivative: -0.17, control var: -5.48, steering_command 110
Projected direction: 5.27, error: 5.27, derivative: 31.90, control var: 29.77, steering_command 0
Projected direction: 21.51, error: 21.51, derivative: 16.24, control var: 18.92, steering_command 25
Projected direction: 21.50, error: 21.50, derivative: -0.01, control var: 4.29, steering_command 76
Projected direction: 21.66, error: 21.66, derivative: 0.16, control var: 4.48, steering_command 75
Projected direction: 21.99, error: 21.99, derivative: 0.33, control var: 4.69, steering_command 74
Projected direction: 1.25, error: 1.25, derivative: -20.74, control var: -18.41, steering_command 155
Projected direction: -36.99, error: -36.99, derivative: -38.24, control var: -41.81, steering_command 179
Projected direction: -35.30, error: -35.30, derivative: 1.69, control var: -5.54, steering_command 110
Projected direction: -32.15, error: -32.15, derivative: 3.15, control var: -3.59, steering_command 103
